ZIP CODE,Year,Year,Quarter,time
90731,22,2022,Q3,"2022, Q3"
91331,15,2015,Q4,"2015, Q4"
90013,15,2015,Q4,"2015, Q4"
90042,7,2007,Q2,"2007, Q2"
90017,15,2015,Q4,"2015, Q4"
90028,94,1994,Q1,"1994, Q1"
91356,19,2019,Q3,"2019, Q3"
91401,14,2014,Q4,"2014, Q4"
90046,99,1999,Q3,"1999, Q3"
91042,9,2009,Q2,"2009, Q2"
90046,15,2015,Q2,"2015, Q2"
90011,20,2020,Q3,"2020, Q3"
90602,20,2020,Q4,"2020, Q4"
91744,19,2019,Q2,"2019, Q2"
90001,20,2020,Q3,"2020, Q3"
91352,81,1981,Q2,"1981, Q2"
90069,15,2015,Q4,"2015, Q4"
90037,15,2015,Q4,"2015, Q4"
90003,16,2016,Q3,"2016, Q3"
91750,16,2016,Q3,"2016, Q3"
90047,15,2015,Q3,"2015, Q3"
90046,12,2012,Q1,"2012, Q1"
90034,92,1992,Q3,"1992, Q3"
91401,15,2015,Q4,"2015, Q4"
90005,12,2012,Q2,"2012, Q2"
90017,16,2016,Q1,"2016, Q1"
90062,92,1992,Q1,"1992, Q1"
90045,14,2014,Q2,"2014, Q2"
90064,89,1989,Q3,"1989, Q3"
90018,16,2016,Q4,"2016, Q4"
90034,8,2008,Q3,"2008, Q3"
90035,15,2015,Q1,"2015, Q1"
90042,14,2014,Q4,"2014, Q4"
90035,18,2018,Q1,"2018, Q1"
90034,2,2002,Q1,"2002, Q1"
91214,13,2013,Q3,"2013, Q3"
90040,19,2019,Q1,"2019, Q1"
90048,85,1985,Q3,"1985, Q3"
91367,16,2016,Q2,"2016, Q2"
90001,15,2015,Q4,"2015, Q4"
91350,20,2020,Q3,"2020, Q3"
91423,14,2014,Q1,"2014, Q1"
90023,22,2022,Q2,"2022, Q2"
91405,76,1976,Q3,"1976, Q3"
91345,17,2017,Q3,"2017, Q3"
90044,11,2011,Q3,"2011, Q3"
91007,13,2013,Q3,"2013, Q3"
91303,15,2015,Q4,"2015, Q4"
90015,16,2016,Q1,"2016, Q1"
90023,89,1989,Q1,"1989, Q1"
90029,15,2015,Q4,"2015, Q4"
91352,15,2015,Q3,"2015, Q3"
90021,15,2015,Q2,"2015, Q2"
90262,17,2017,Q1,"2017, Q1"
90037,20,2020,Q2,"2020, Q2"
90041,74,1974,Q4,"1974, Q4"
91340,0,2000,Q4,"2000, Q4"
90278,17,2017,Q1,"2017, Q1"
91301,16,2016,Q1,"2016, Q1"
90014,88,1988,Q4,"1988, Q4"
90007,84,1984,Q3,"1984, Q3"
90005,20,2020,Q3,"2020, Q3"
90026,16,2016,Q2,"2016, Q2"
91343,7,2007,Q1,"2007, Q1"
91750,18,2018,Q3,"2018, Q3"
90293,81,1981,Q1,"1981, Q1"
90037,14,2014,Q4,"2014, Q4"
90004,15,2015,Q1,"2015, Q1"
90038,20,2020,Q3,"2020, Q3"
91345,93,1993,Q4,"1993, Q4"
91364,22,2022,Q2,"2022, Q2"
90007,17,2017,Q1,"2017, Q1"
91607,15,2015,Q1,"2015, Q1"
90036,19,2019,Q3,"2019, Q3"
90041,16,2016,Q1,"2016, Q1"
91364,96,1996,Q2,"1996, Q2"
90018,11,2011,Q3,"2011, Q3"
90745,15,2015,Q4,"2015, Q4"
90068,86,1986,Q1,"1986, Q1"
90290,14,2014,Q3,"2014, Q3"
91107,19,2019,Q1,"2019, Q1"
91367,15,2015,Q4,"2015, Q4"
90064,15,2015,Q4,"2015, Q4"
90247,14,2014,Q2,"2014, Q2"
90015,15,2015,Q4,"2015, Q4"
91606,15,2015,Q4,"2015, Q4"
90037,81,1981,Q4,"1981, Q4"
91732,16,2016,Q1,"2016, Q1"
90014,79,1979,Q3,"1979, Q3"
91306,16,2016,Q2,"2016, Q2"
91780,11,2011,Q4,"2011, Q4"
90065,15,2015,Q4,"2015, Q4"
90008,11,2011,Q4,"2011, Q4"
91331,14,2014,Q4,"2014, Q4"
90034,11,2011,Q3,"2011, Q3"
91406,15,2015,Q4,"2015, Q4"
90001,17,2017,Q1,"2017, Q1"
90058,20,2020,Q3,"2020, Q3"
90232,14,2014,Q1,"2014, Q1"
90047,18,2018,Q1,"2018, Q1"
90027,11,2011,Q1,"2011, Q1"
91601,15,2015,Q1,"2015, Q1"
91405,14,2014,Q3,"2014, Q3"
90027,11,2011,Q1,"2011, Q1"
90008,94,1994,Q4,"1994, Q4"
91352,16,2016,Q1,"2016, Q1"
90063,1,2001,Q3,"2001, Q3"
91325,15,2015,Q4,"2015, Q4"
90006,20,2020,Q2,"2020, Q2"
90404,17,2017,Q3,"2017, Q3"
90026,14,2014,Q1,"2014, Q1"
91355,85,1985,Q2,"1985, Q2"
90277,18,2018,Q3,"2018, Q3"
90025,6,2006,Q4,"2006, Q4"
90011,15,2015,Q4,"2015, Q4"
91403,15,2015,Q1,"2015, Q1"
90007,9,2009,Q4,"2009, Q4"
91342,9,2009,Q1,"2009, Q1"
90022,15,2015,Q4,"2015, Q4"
90077,14,2014,Q1,"2014, Q1"
90035,11,2011,Q2,"2011, Q2"
90041,17,2017,Q1,"2017, Q1"
90057,17,2017,Q3,"2017, Q3"
90710,16,2016,Q1,"2016, Q1"
90012,69,1969,Q4,"1969, Q4"
91411,6,2006,Q1,"2006, Q1"
90015,0,2000,Q3,"2000, Q3"
90280,10,2010,Q3,"2010, Q3"
91325,15,2015,Q2,"2015, Q2"
90242,18,2018,Q3,"2018, Q3"
90015,7,2007,Q1,"2007, Q1"
90042,13,2013,Q4,"2013, Q4"
90061,14,2014,Q4,"2014, Q4"
91001,15,2015,Q3,"2015, Q3"
90028,14,2014,Q4,"2014, Q4"
90265,20,2020,Q2,"2020, Q2"
91311,15,2015,Q4,"2015, Q4"
90062,88,1988,Q3,"1988, Q3"
90032,15,2015,Q3,"2015, Q3"
90068,10,2010,Q4,"2010, Q4"
90048,14,2014,Q3,"2014, Q3"
90068,15,2015,Q1,"2015, Q1"
90047,4,2004,Q1,"2004, Q1"
91020,15,2015,Q1,"2015, Q1"
90049,6,2006,Q1,"2006, Q1"
91304,19,2019,Q4,"2019, Q4"
91601,15,2015,Q4,"2015, Q4"
90019,19,2019,Q1,"2019, Q1"
90039,15,2015,Q3,"2015, Q3"
91356,97,1997,Q4,"1997, Q4"
90731,15,2015,Q4,"2015, Q4"
90043,11,2011,Q1,"2011, Q1"
90232,17,2017,Q3,"2017, Q3"
90041,16,2016,Q1,"2016, Q1"
91402,6,2006,Q1,"2006, Q1"
90018,15,2015,Q4,"2015, Q4"
90044,14,2014,Q2,"2014, Q2"
91405,12,2012,Q4,"2012, Q4"
90014,14,2014,Q1,"2014, Q1"
90302,15,2015,Q4,"2015, Q4"
90033,14,2014,Q4,"2014, Q4"
91790,15,2015,Q1,"2015, Q1"
90026,15,2015,Q2,"2015, Q2"
91505,15,2015,Q1,"2015, Q1"
90039,14,2014,Q1,"2014, Q1"
90029,14,2014,Q1,"2014, Q1"
90019,16,2016,Q1,"2016, Q1"
91344,11,2011,Q2,"2011, Q2"
91306,5,2005,Q1,"2005, Q1"
90031,15,2015,Q4,"2015, Q4"
90014,16,2016,Q1,"2016, Q1"
90029,22,2022,Q2,"2022, Q2"
91601,15,2015,Q4,"2015, Q4"
90068,12,2012,Q2,"2012, Q2"
91406,10,2010,Q4,"2010, Q4"
90043,10,2010,Q3,"2010, Q3"
90035,16,2016,Q1,"2016, Q1"
91342,16,2016,Q3,"2016, Q3"
90004,63,1963,Q2,"1963, Q2"
90019,16,2016,Q3,"2016, Q3"
90007,76,1976,Q2,"1976, Q2"
90014,92,1992,Q1,"1992, Q1"
91106,3,2003,Q3,"2003, Q3"
90034,15,2015,Q4,"2015, Q4"
90005,15,2015,Q4,"2015, Q4"
90068,22,2022,Q2,"2022, Q2"
90008,17,2017,Q1,"2017, Q1"
90025,15,2015,Q3,"2015, Q3"
91605,11,2011,Q2,"2011, Q2"
91401,9,2009,Q2,"2009, Q2"
90017,98,1998,Q3,"1998, Q3"
91406,13,2013,Q3,"2013, Q3"
91601,15,2015,Q4,"2015, Q4"
91606,14,2014,Q3,"2014, Q3"
90025,92,1992,Q2,"1992, Q2"
90010,15,2015,Q1,"2015, Q1"
90254,15,2015,Q2,"2015, Q2"
91605,94,1994,Q3,"1994, Q3"
91423,15,2015,Q2,"2015, Q2"
90003,14,2014,Q3,"2014, Q3"
90029,12,2012,Q4,"2012, Q4"
90291,14,2014,Q1,"2014, Q1"
90020,15,2015,Q1,"2015, Q1"
90023,14,2014,Q3,"2014, Q3"
90063,15,2015,Q4,"2015, Q4"
90064,15,2015,Q4,"2015, Q4"
90064,15,2015,Q4,"2015, Q4"
90044,15,2015,Q2,"2015, Q2"
90001,15,2015,Q3,"2015, Q3"
90036,20,2020,Q2,"2020, Q2"
90005,17,2017,Q4,"2017, Q4"
90025,17,2017,Q3,"2017, Q3"
91423,16,2016,Q1,"2016, Q1"
91325,15,2015,Q4,"2015, Q4"
90292,15,2015,Q3,"2015, Q3"
91344,15,2015,Q4,"2015, Q4"
90045,14,2014,Q1,"2014, Q1"
90703,90,1990,Q2,"1990, Q2"
90033,14,2014,Q4,"2014, Q4"
91423,8,2008,Q2,"2008, Q2"
90033,75,1975,Q2,"1975, Q2"
90248,15,2015,Q4,"2015, Q4"
91040,15,2015,Q3,"2015, Q3"
90018,15,2015,Q3,"2015, Q3"
91352,14,2014,Q4,"2014, Q4"
90037,15,2015,Q3,"2015, Q3"
90023,14,2014,Q2,"2014, Q2"
90731,14,2014,Q3,"2014, Q3"
90293,11,2011,Q4,"2011, Q4"
90011,15,2015,Q1,"2015, Q1"
90255,14,2014,Q4,"2014, Q4"
91342,15,2015,Q2,"2015, Q2"
91208,4,2004,Q2,"2004, Q2"
90248,96,1996,Q3,"1996, Q3"
90303,4,2004,Q1,"2004, Q1"
90047,15,2015,Q1,"2015, Q1"
90062,11,2011,Q1,"2011, Q1"
91605,15,2015,Q3,"2015, Q3"
91601,16,2016,Q3,"2016, Q3"
90063,19,2019,Q3,"2019, Q3"
90042,18,2018,Q1,"2018, Q1"
90007,15,2015,Q4,"2015, Q4"
90291,14,2014,Q3,"2014, Q3"
90028,14,2014,Q3,"2014, Q3"
91505,14,2014,Q1,"2014, Q1"
90018,84,1984,Q3,"1984, Q3"
90744,14,2014,Q1,"2014, Q1"
90045,13,2013,Q2,"2013, Q2"
90014,15,2015,Q2,"2015, Q2"
91402,14,2014,Q3,"2014, Q3"
90292,15,2015,Q4,"2015, Q4"
90017,22,2022,Q2,"2022, Q2"
90029,12,2012,Q1,"2012, Q1"
90013,1,2001,Q4,"2001, Q4"
91601,15,2015,Q4,"2015, Q4"
91356,7,2007,Q2,"2007, Q2"
90036,78,1978,Q1,"1978, Q1"
91411,16,2016,Q1,"2016, Q1"
90717,22,2022,Q2,"2022, Q2"
91364,15,2015,Q1,"2015, Q1"
91342,15,2015,Q4,"2015, Q4"
90019,15,2015,Q4,"2015, Q4"
91342,16,2016,Q2,"2016, Q2"
91411,98,1998,Q1,"1998, Q1"
91406,16,2016,Q1,"2016, Q1"
90014,96,1996,Q3,"1996, Q3"
91406,13,2013,Q1,"2013, Q1"
90016,15,2015,Q4,"2015, Q4"
91505,16,2016,Q1,"2016, Q1"
91406,12,2012,Q2,"2012, Q2"
91390,15,2015,Q4,"2015, Q4"
91406,15,2015,Q4,"2015, Q4"
91356,13,2013,Q4,"2013, Q4"
91303,15,2015,Q1,"2015, Q1"
90255,15,2015,Q2,"2015, Q2"
90011,15,2015,Q4,"2015, Q4"
90003,15,2015,Q4,"2015, Q4"
90019,14,2014,Q3,"2014, Q3"
91605,9,2009,Q3,"2009, Q3"
90018,17,2017,Q1,"2017, Q1"
90011,15,2015,Q1,"2015, Q1"
90005,15,2015,Q4,"2015, Q4"
91767,8,2008,Q4,"2008, Q4"
91605,92,1992,Q1,"1992, Q1"
90046,15,2015,Q1,"2015, Q1"
91406,77,1977,Q3,"1977, Q3"
91340,13,2013,Q1,"2013, Q1"
91402,98,1998,Q2,"1998, Q2"
91401,14,2014,Q2,"2014, Q2"
90028,95,1995,Q2,"1995, Q2"
90044,16,2016,Q3,"2016, Q3"
90045,2,2002,Q3,"2002, Q3"
90018,15,2015,Q3,"2015, Q3"
91406,17,2017,Q3,"2017, Q3"
90006,49,1949,Q1,"1949, Q1"
90293,15,2015,Q4,"2015, Q4"
90012,92,1992,Q2,"1992, Q2"
90056,15,2015,Q1,"2015, Q1"
90004,9,2009,Q2,"2009, Q2"
91605,7,2007,Q1,"2007, Q1"
90032,10,2010,Q1,"2010, Q1"
90025,15,2015,Q4,"2015, Q4"
90014,14,2014,Q2,"2014, Q2"
91405,13,2013,Q2,"2013, Q2"
91411,15,2015,Q2,"2015, Q2"
91335,21,2021,Q1,"2021, Q1"
90021,15,2015,Q4,"2015, Q4"
91204,19,2019,Q3,"2019, Q3"
91364,15,2015,Q1,"2015, Q1"
91325,15,2015,Q1,"2015, Q1"
91506,15,2015,Q4,"2015, Q4"
91324,15,2015,Q4,"2015, Q4"
90064,15,2015,Q3,"2015, Q3"
90057,11,2011,Q1,"2011, Q1"
91326,16,2016,Q4,"2016, Q4"
91605,10,2010,Q4,"2010, Q4"
91331,16,2016,Q2,"2016, Q2"
90039,8,2008,Q2,"2008, Q2"
90404,15,2015,Q2,"2015, Q2"
91342,5,2005,Q2,"2005, Q2"
90293,20,2020,Q3,"2020, Q3"
90057,20,2020,Q4,"2020, Q4"
91325,7,2007,Q1,"2007, Q1"
90021,16,2016,Q4,"2016, Q4"
90032,16,2016,Q1,"2016, Q1"
90019,8,2008,Q2,"2008, Q2"
91306,19,2019,Q2,"2019, Q2"
90037,21,2021,Q3,"2021, Q3"
90023,16,2016,Q1,"2016, Q1"
91335,3,2003,Q1,"2003, Q1"
91352,15,2015,Q4,"2015, Q4"
90022,17,2017,Q1,"2017, Q1"
90015,15,2015,Q1,"2015, Q1"
90029,15,2015,Q3,"2015, Q3"
91342,22,2022,Q1,"2022, Q1"
90291,15,2015,Q4,"2015, Q4"
90035,87,1987,Q1,"1987, Q1"
91344,13,2013,Q1,"2013, Q1"
91324,15,2015,Q4,"2015, Q4"
91324,85,1985,Q2,"1985, Q2"
90026,14,2014,Q1,"2014, Q1"
91401,15,2015,Q4,"2015, Q4"
90014,12,2012,Q1,"2012, Q1"
91740,8,2008,Q1,"2008, Q1"
90405,15,2015,Q4,"2015, Q4"
91352,15,2015,Q4,"2015, Q4"
91605,91,1991,Q1,"1991, Q1"
91325,15,2015,Q2,"2015, Q2"
90069,18,2018,Q3,"2018, Q3"
91601,15,2015,Q1,"2015, Q1"
90033,15,2015,Q1,"2015, Q1"
90045,1,2001,Q2,"2001, Q2"
91364,12,2012,Q1,"2012, Q1"
91304,15,2015,Q1,"2015, Q1"
91401,89,1989,Q1,"1989, Q1"
91343,19,2019,Q2,"2019, Q2"
91367,4,2004,Q1,"2004, Q1"
90026,15,2015,Q2,"2015, Q2"
90278,15,2015,Q4,"2015, Q4"
90061,15,2015,Q4,"2015, Q4"
91001,8,2008,Q3,"2008, Q3"
90048,15,2015,Q2,"2015, Q2"
90044,15,2015,Q1,"2015, Q1"
90405,9,2009,Q3,"2009, Q3"
91321,16,2016,Q3,"2016, Q3"
90064,99,1999,Q3,"1999, Q3"
90247,13,2013,Q2,"2013, Q2"
90003,10,2010,Q1,"2010, Q1"
90004,14,2014,Q2,"2014, Q2"
91364,14,2014,Q4,"2014, Q4"
90066,15,2015,Q4,"2015, Q4"
93510,2,2002,Q1,"2002, Q1"
91405,10,2010,Q1,"2010, Q1"
91423,15,2015,Q2,"2015, Q2"
91403,7,2007,Q3,"2007, Q3"
90039,14,2014,Q3,"2014, Q3"
93552,16,2016,Q1,"2016, Q1"
90068,15,2015,Q4,"2015, Q4"
91789,15,2015,Q2,"2015, Q2"
90014,91,1991,Q3,"1991, Q3"
90019,15,2015,Q4,"2015, Q4"
91331,1,2001,Q2,"2001, Q2"
90043,17,2017,Q2,"2017, Q2"
91343,22,2022,Q2,"2022, Q2"
90026,16,2016,Q3,"2016, Q3"
90250,17,2017,Q2,"2017, Q2"
90039,17,2017,Q2,"2017, Q2"
90006,17,2017,Q3,"2017, Q3"
90640,82,1982,Q2,"1982, Q2"
91605,15,2015,Q1,"2015, Q1"
90031,15,2015,Q3,"2015, Q3"
90047,15,2015,Q3,"2015, Q3"
90301,15,2015,Q4,"2015, Q4"
90744,15,2015,Q4,"2015, Q4"
90036,15,2015,Q1,"2015, Q1"
90024,7,2007,Q1,"2007, Q1"
90027,15,2015,Q1,"2015, Q1"
90042,14,2014,Q1,"2014, Q1"
90026,4,2004,Q3,"2004, Q3"
90022,15,2015,Q3,"2015, Q3"
90066,9,2009,Q2,"2009, Q2"
90026,14,2014,Q1,"2014, Q1"
90015,15,2015,Q2,"2015, Q2"
91601,17,2017,Q3,"2017, Q3"
90291,15,2015,Q3,"2015, Q3"
91311,15,2015,Q2,"2015, Q2"
91331,15,2015,Q4,"2015, Q4"
90065,16,2016,Q1,"2016, Q1"
90041,14,2014,Q3,"2014, Q3"
91324,11,2011,Q1,"2011, Q1"
90065,11,2011,Q1,"2011, Q1"
90002,16,2016,Q3,"2016, Q3"
91405,15,2015,Q4,"2015, Q4"
91364,9,2009,Q2,"2009, Q2"
90062,15,2015,Q4,"2015, Q4"
90006,15,2015,Q4,"2015, Q4"
91364,81,1981,Q4,"1981, Q4"
91342,20,2020,Q4,"2020, Q4"
91605,14,2014,Q4,"2014, Q4"
91402,11,2011,Q2,"2011, Q2"
90014,90,1990,Q2,"1990, Q2"
90710,3,2003,Q3,"2003, Q3"
90014,15,2015,Q3,"2015, Q3"
91604,15,2015,Q1,"2015, Q1"
91006,11,2011,Q1,"2011, Q1"
91364,10,2010,Q1,"2010, Q1"
91311,15,2015,Q2,"2015, Q2"
91789,15,2015,Q4,"2015, Q4"
90042,11,2011,Q1,"2011, Q1"
90017,15,2015,Q4,"2015, Q4"
90018,15,2015,Q3,"2015, Q3"
90046,14,2014,Q2,"2014, Q2"
90025,15,2015,Q3,"2015, Q3"
90024,13,2013,Q1,"2013, Q1"
91364,14,2014,Q2,"2014, Q2"
91343,14,2014,Q1,"2014, Q1"
90006,98,1998,Q1,"1998, Q1"
90027,14,2014,Q3,"2014, Q3"
90037,15,2015,Q3,"2015, Q3"
90014,16,2016,Q1,"2016, Q1"
90042,19,2019,Q3,"2019, Q3"
91331,15,2015,Q4,"2015, Q4"
90021,15,2015,Q3,"2015, Q3"
90043,86,1986,Q2,"1986, Q2"
90017,1,2001,Q2,"2001, Q2"
90011,15,2015,Q3,"2015, Q3"
91344,14,2014,Q1,"2014, Q1"
90019,10,2010,Q4,"2010, Q4"
91423,19,2019,Q3,"2019, Q3"
91201,17,2017,Q2,"2017, Q2"
90065,16,2016,Q1,"2016, Q1"
90011,15,2015,Q3,"2015, Q3"
90027,99,1999,Q1,"1999, Q1"
90026,15,2015,Q1,"2015, Q1"
90039,15,2015,Q2,"2015, Q2"
90065,12,2012,Q3,"2012, Q3"
90003,15,2015,Q4,"2015, Q4"
90065,14,2014,Q1,"2014, Q1"
90044,14,2014,Q4,"2014, Q4"
91206,6,2006,Q1,"2006, Q1"
91405,15,2015,Q2,"2015, Q2"
91405,14,2014,Q2,"2014, Q2"
90710,13,2013,Q2,"2013, Q2"
91780,13,2013,Q3,"2013, Q3"
90731,70,1970,Q1,"1970, Q1"
90063,15,2015,Q4,"2015, Q4"
90014,13,2013,Q4,"2013, Q4"
90035,7,2007,Q3,"2007, Q3"
90045,15,2015,Q4,"2015, Q4"
91367,15,2015,Q3,"2015, Q3"
90064,7,2007,Q1,"2007, Q1"
90020,15,2015,Q4,"2015, Q4"
90064,10,2010,Q3,"2010, Q3"
90292,15,2015,Q3,"2015, Q3"
91331,15,2015,Q4,"2015, Q4"
90247,16,2016,Q2,"2016, Q2"
90731,13,2013,Q2,"2013, Q2"
91340,16,2016,Q1,"2016, Q1"
90036,9,2009,Q2,"2009, Q2"
91326,15,2015,Q1,"2015, Q1"
90064,90,1990,Q2,"1990, Q2"
91040,14,2014,Q4,"2014, Q4"
90045,16,2016,Q4,"2016, Q4"
93536,15,2015,Q4,"2015, Q4"
90291,92,1992,Q1,"1992, Q1"
91331,15,2015,Q4,"2015, Q4"
91606,22,2022,Q2,"2022, Q2"
91601,15,2015,Q4,"2015, Q4"
91311,10,2010,Q3,"2010, Q3"
90014,6,2006,Q1,"2006, Q1"
90011,15,2015,Q1,"2015, Q1"
90015,15,2015,Q2,"2015, Q2"
90716,15,2015,Q4,"2015, Q4"
91406,22,2022,Q1,"2022, Q1"
91307,11,2011,Q3,"2011, Q3"
90731,15,2015,Q1,"2015, Q1"
90045,11,2011,Q4,"2011, Q4"
91311,80,1980,Q2,"1980, Q2"
91306,21,2021,Q3,"2021, Q3"
90063,4,2004,Q1,"2004, Q1"
90031,14,2014,Q3,"2014, Q3"
90006,86,1986,Q1,"1986, Q1"
90012,97,1997,Q1,"1997, Q1"
90003,16,2016,Q4,"2016, Q4"
90065,94,1994,Q1,"1994, Q1"
91401,15,2015,Q4,"2015, Q4"
90033,15,2015,Q4,"2015, Q4"
91401,17,2017,Q1,"2017, Q1"
91311,14,2014,Q4,"2014, Q4"
91335,14,2014,Q4,"2014, Q4"
90027,14,2014,Q1,"2014, Q1"
90744,16,2016,Q4,"2016, Q4"
90058,14,2014,Q4,"2014, Q4"
91406,4,2004,Q1,"2004, Q1"
90021,11,2011,Q3,"2011, Q3"
91324,22,2022,Q3,"2022, Q3"
90057,16,2016,Q3,"2016, Q3"
90035,11,2011,Q1,"2011, Q1"
91423,16,2016,Q1,"2016, Q1"
90045,96,1996,Q4,"1996, Q4"
90027,15,2015,Q4,"2015, Q4"
90291,15,2015,Q4,"2015, Q4"
91605,15,2015,Q4,"2015, Q4"
91405,14,2014,Q3,"2014, Q3"
90021,15,2015,Q4,"2015, Q4"
90034,16,2016,Q1,"2016, Q1"
90272,90,1990,Q3,"1990, Q3"
91344,2,2002,Q3,"2002, Q3"
90291,15,2015,Q4,"2015, Q4"
90037,14,2014,Q1,"2014, Q1"
90023,15,2015,Q4,"2015, Q4"
91303,93,1993,Q1,"1993, Q1"
91405,15,2015,Q3,"2015, Q3"
90723,4,2004,Q3,"2004, Q3"
91335,98,1998,Q4,"1998, Q4"
90046,16,2016,Q4,"2016, Q4"
90001,15,2015,Q2,"2015, Q2"
90028,15,2015,Q1,"2015, Q1"
91387,15,2015,Q1,"2015, Q1"
91311,13,2013,Q1,"2013, Q1"
90024,16,2016,Q3,"2016, Q3"
91335,15,2015,Q4,"2015, Q4"
91423,16,2016,Q1,"2016, Q1"
90059,16,2016,Q1,"2016, Q1"
90744,14,2014,Q3,"2014, Q3"
91344,15,2015,Q3,"2015, Q3"
90220,17,2017,Q1,"2017, Q1"
91605,15,2015,Q1,"2015, Q1"
90731,14,2014,Q3,"2014, Q3"
91335,14,2014,Q4,"2014, Q4"
91011,17,2017,Q3,"2017, Q3"
90044,19,2019,Q3,"2019, Q3"
91311,22,2022,Q1,"2022, Q1"
90020,15,2015,Q1,"2015, Q1"
90068,15,2015,Q2,"2015, Q2"
90062,18,2018,Q2,"2018, Q2"
91344,15,2015,Q4,"2015, Q4"
90015,2,2002,Q3,"2002, Q3"
90013,18,2018,Q2,"2018, Q2"
91342,94,1994,Q2,"1994, Q2"
91401,14,2014,Q4,"2014, Q4"
90039,4,2004,Q4,"2004, Q4"
91607,16,2016,Q1,"2016, Q1"
90011,21,2021,Q4,"2021, Q4"
90015,15,2015,Q1,"2015, Q1"
91605,14,2014,Q2,"2014, Q2"
91402,15,2015,Q1,"2015, Q1"
91367,1,2001,Q1,"2001, Q1"
90026,98,1998,Q1,"1998, Q1"
91344,15,2015,Q4,"2015, Q4"
91789,15,2015,Q4,"2015, Q4"
90744,15,2015,Q4,"2015, Q4"
90670,19,2019,Q3,"2019, Q3"
91307,17,2017,Q3,"2017, Q3"
91405,13,2013,Q1,"2013, Q1"
90056,15,2015,Q4,"2015, Q4"
90042,18,2018,Q1,"2018, Q1"
90301,14,2014,Q1,"2014, Q1"
91352,6,2006,Q4,"2006, Q4"
90008,9,2009,Q3,"2009, Q3"
91344,99,1999,Q3,"1999, Q3"
91020,11,2011,Q3,"2011, Q3"
90058,15,2015,Q4,"2015, Q4"
90022,15,2015,Q4,"2015, Q4"
91775,13,2013,Q1,"2013, Q1"
91411,14,2014,Q2,"2014, Q2"
90016,1,2001,Q4,"2001, Q4"
90019,4,2004,Q1,"2004, Q1"
90028,15,2015,Q1,"2015, Q1"
90062,15,2015,Q4,"2015, Q4"
90042,14,2014,Q3,"2014, Q3"
91607,15,2015,Q4,"2015, Q4"
90032,21,2021,Q2,"2021, Q2"
91006,15,2015,Q4,"2015, Q4"
91342,2,2002,Q2,"2002, Q2"
90021,6,2006,Q4,"2006, Q4"
91307,13,2013,Q2,"2013, Q2"
91403,18,2018,Q1,"2018, Q1"
90731,12,2012,Q1,"2012, Q1"
90043,15,2015,Q3,"2015, Q3"
91306,19,2019,Q3,"2019, Q3"
91506,21,2021,Q1,"2021, Q1"
90062,15,2015,Q4,"2015, Q4"
93536,14,2014,Q4,"2014, Q4"
91364,95,1995,Q3,"1995, Q3"
90250,15,2015,Q4,"2015, Q4"
90710,15,2015,Q3,"2015, Q3"
91206,13,2013,Q4,"2013, Q4"
90043,15,2015,Q1,"2015, Q1"
91405,96,1996,Q1,"1996, Q1"
90023,14,2014,Q2,"2014, Q2"
91342,15,2015,Q2,"2015, Q2"
90805,14,2014,Q4,"2014, Q4"
90010,15,2015,Q4,"2015, Q4"
